LEXICO LOG - file: algoritmo1.rs
Generated: 2025-11-10T18:10:51.324111
User: PaulPer37
============================================================

TOKENS
------------------------------------------------------------
LINE   22 | TYPE: LPAREN       | POS:    376 | VALUE: '('
LINE   22 | TYPE: STRING       | POS:    377 | VALUE: 'limite alcanzado'
LINE   22 | TYPE: RPAREN       | POS:    395 | VALUE: ')'
LINE   22 | TYPE: SEMICOLON    | POS:    396 | VALUE: ';'
LINE   23 | TYPE: RBRACE       | POS:    402 | VALUE: '}'
LINE   23 | TYPE: ELSE         | POS:    404 | VALUE: 'else'
LINE   23 | TYPE: LBRACE       | POS:    409 | VALUE: '{'
LINE   28 | TYPE: LET          | POS:    575 | VALUE: 'let'
LINE   28 | TYPE: ID           | POS:    579 | VALUE: 'arr'
LINE   28 | TYPE: ASSIGN       | POS:    583 | VALUE: '='
LINE   28 | TYPE: LBRACKET     | POS:    585 | VALUE: '['
LINE   28 | TYPE: INTEGER      | POS:    586 | VALUE: 1
LINE   28 | TYPE: COMMA        | POS:    587 | VALUE: ','
LINE   28 | TYPE: INTEGER      | POS:    589 | VALUE: 2
LINE   28 | TYPE: COMMA        | POS:    590 | VALUE: ','
LINE   28 | TYPE: INTEGER      | POS:    592 | VALUE: 3
LINE   28 | TYPE: RBRACKET     | POS:    593 | VALUE: ']'
LINE   28 | TYPE: SEMICOLON    | POS:    594 | VALUE: ';'
LINE   29 | TYPE: FOR          | POS:    604 | VALUE: 'for'
LINE   29 | TYPE: ID           | POS:    608 | VALUE: 'i'
LINE   29 | TYPE: IN           | POS:    610 | VALUE: 'in'
LINE   29 | TYPE: INTEGER      | POS:    613 | VALUE: 0
LINE   29 | TYPE: PERIOD       | POS:    614 | VALUE: '.'
LINE   29 | TYPE: PERIOD       | POS:    615 | VALUE: '.'
LINE   29 | TYPE: INTEGER      | POS:    616 | VALUE: 3
LINE   29 | TYPE: LBRACE       | POS:    618 | VALUE: '{'
LINE   32 | TYPE: ID           | POS:    697 | VALUE: 'x'
LINE   32 | TYPE: ASSIGN       | POS:    699 | VALUE: '='
LINE   32 | TYPE: ID           | POS:    701 | VALUE: 'x'
LINE   32 | TYPE: PLUS         | POS:    703 | VALUE: '+'
LINE   32 | TYPE: ID           | POS:    705 | VALUE: 'i'
LINE   32 | TYPE: SEMICOLON    | POS:    706 | VALUE: ';'
LINE   33 | TYPE: ID           | POS:    720 | VALUE: 'x'
LINE   33 | TYPE: MINUS_ASSIGN | POS:    722 | VALUE: '-='
LINE   33 | TYPE: INTEGER      | POS:    725 | VALUE: 1
LINE   33 | TYPE: SEMICOLON    | POS:    726 | VALUE: ';'
LINE   34 | TYPE: ID           | POS:    740 | VALUE: 'y'
LINE   34 | TYPE: MULT_ASSIGN  | POS:    742 | VALUE: '*='
LINE   34 | TYPE: FLOAT        | POS:    745 | VALUE: 2.0
LINE   34 | TYPE: SEMICOLON    | POS:    748 | VALUE: ';'
LINE   35 | TYPE: ID           | POS:    762 | VALUE: 'z'
LINE   35 | TYPE: DIV_ASSIGN   | POS:    764 | VALUE: '/='
LINE   35 | TYPE: FLOAT        | POS:    767 | VALUE: 1.0
