LEXICO LOG - file: algoritmo3.rs
Generated: 2025-11-17T23:38:04.659648
User: RUCO_HOUSE
============================================================

TOKENS
------------------------------------------------------------
LINE    6 | TYPE: FN           | POS:     66 | VALUE: 'fn'
LINE   36 | TYPE: RPAREN       | POS:    674 | VALUE: ')'
LINE   36 | TYPE: SEMICOLON    | POS:    675 | VALUE: ';'
LINE   37 | TYPE: RBRACE       | POS:    681 | VALUE: '}'
LINE   37 | TYPE: ELSE         | POS:    683 | VALUE: 'else'
LINE   37 | TYPE: LBRACE       | POS:    688 | VALUE: '{'
LINE   40 | TYPE: LET          | POS:    756 | VALUE: 'let'
LINE   40 | TYPE: ID           | POS:    760 | VALUE: 'arr'
LINE   40 | TYPE: ASSIGN       | POS:    764 | VALUE: '='
LINE   40 | TYPE: LBRACKET     | POS:    766 | VALUE: '['
LINE   40 | TYPE: INTEGER      | POS:    767 | VALUE: 1
LINE   40 | TYPE: COMMA        | POS:    768 | VALUE: ','
LINE   40 | TYPE: INTEGER      | POS:    770 | VALUE: 2
LINE   40 | TYPE: COMMA        | POS:    771 | VALUE: ','
LINE   40 | TYPE: INTEGER      | POS:    773 | VALUE: 3
LINE   40 | TYPE: RBRACKET     | POS:    774 | VALUE: ']'
LINE   40 | TYPE: SEMICOLON    | POS:    775 | VALUE: ';'
LINE   44 | TYPE: FOR          | POS:    823 | VALUE: 'for'
LINE   44 | TYPE: ID           | POS:    827 | VALUE: 'i'
LINE   44 | TYPE: IN           | POS:    829 | VALUE: 'in'
LINE   44 | TYPE: INTEGER      | POS:    832 | VALUE: 0
LINE   44 | TYPE: PERIOD       | POS:    833 | VALUE: '.'
LINE   44 | TYPE: PERIOD       | POS:    834 | VALUE: '.'
LINE   44 | TYPE: INTEGER      | POS:    835 | VALUE: 3
LINE   44 | TYPE: LBRACE       | POS:    837 | VALUE: '{'
LINE   49 | TYPE: ID           | POS:    951 | VALUE: 'x'
LINE   49 | TYPE: ASSIGN       | POS:    953 | VALUE: '='
LINE   49 | TYPE: ID           | POS:    955 | VALUE: 'x'
