LEXICO LOG - file: algoritmo2.rs
Generated: 2025-11-11T03:42:09.028423
User: codespace
============================================================

TOKENS
------------------------------------------------------------
LINE    5 | TYPE: FN           | POS:     33 | VALUE: 'fn'
LINE    5 | TYPE: ID           | POS:     36 | VALUE: 'sumar'
LINE    5 | TYPE: LPAREN       | POS:     41 | VALUE: '('
LINE    5 | TYPE: ID           | POS:     42 | VALUE: 'a'
LINE    5 | TYPE: COLON        | POS:     43 | VALUE: ':'
LINE    5 | TYPE: ID           | POS:     45 | VALUE: 'i32'
LINE    5 | TYPE: COMMA        | POS:     48 | VALUE: ','
LINE    5 | TYPE: ID           | POS:     50 | VALUE: 'b'
LINE    5 | TYPE: COLON        | POS:     51 | VALUE: ':'
LINE    5 | TYPE: ID           | POS:     53 | VALUE: 'i32'
LINE    5 | TYPE: RPAREN       | POS:     56 | VALUE: ')'
LINE    5 | TYPE: ARROW        | POS:     58 | VALUE: '->'
LINE    5 | TYPE: ID           | POS:     61 | VALUE: 'i32'
LINE    5 | TYPE: LBRACE       | POS:     65 | VALUE: '{'
LINE    6 | TYPE: RETURN       | POS:     71 | VALUE: 'return'
LINE    6 | TYPE: ID           | POS:     78 | VALUE: 'a'
LINE    6 | TYPE: PLUS         | POS:     80 | VALUE: '+'
LINE    6 | TYPE: ID           | POS:     82 | VALUE: 'b'
LINE    7 | TYPE: RBRACE       | POS:     84 | VALUE: '}'
LINE    9 | TYPE: FN           | POS:     87 | VALUE: 'fn'
LINE    9 | TYPE: ID           | POS:     90 | VALUE: 'restar'
LINE    9 | TYPE: LPAREN       | POS:     96 | VALUE: '('
LINE    9 | TYPE: ID           | POS:     97 | VALUE: 'a'
LINE    9 | TYPE: COLON        | POS:     98 | VALUE: ':'
LINE    9 | TYPE: ID           | POS:    100 | VALUE: 'i32'
LINE    9 | TYPE: COMMA        | POS:    103 | VALUE: ','
LINE    9 | TYPE: ID           | POS:    105 | VALUE: 'b'
LINE    9 | TYPE: COLON        | POS:    106 | VALUE: ':'
LINE    9 | TYPE: ID           | POS:    108 | VALUE: 'i32'
LINE    9 | TYPE: RPAREN       | POS:    111 | VALUE: ')'
LINE    9 | TYPE: ARROW        | POS:    113 | VALUE: '->'
LINE    9 | TYPE: ID           | POS:    116 | VALUE: 'i32'
LINE    9 | TYPE: LBRACE       | POS:    120 | VALUE: '{'
LINE   10 | TYPE: RETURN       | POS:    126 | VALUE: 'return'
LINE   10 | TYPE: ID           | POS:    133 | VALUE: 'a'
LINE   10 | TYPE: MINUS        | POS:    135 | VALUE: '-'
LINE   10 | TYPE: ID           | POS:    137 | VALUE: 'b'
LINE   10 | TYPE: SEMICOLON    | POS:    138 | VALUE: ';'
LINE   11 | TYPE: RBRACE       | POS:    140 | VALUE: '}'
LINE   13 | TYPE: FN           | POS:    143 | VALUE: 'fn'
LINE   13 | TYPE: ID           | POS:    146 | VALUE: 'multiplicar'
LINE   13 | TYPE: LPAREN       | POS:    157 | VALUE: '('
LINE   13 | TYPE: ID           | POS:    158 | VALUE: 'a'
LINE   13 | TYPE: COLON        | POS:    159 | VALUE: ':'
LINE   13 | TYPE: ID           | POS:    161 | VALUE: 'i32'
LINE   13 | TYPE: COMMA        | POS:    164 | VALUE: ','
LINE   13 | TYPE: ID           | POS:    166 | VALUE: 'b'
LINE   13 | TYPE: COLON        | POS:    167 | VALUE: ':'
LINE   13 | TYPE: ID           | POS:    169 | VALUE: 'i32'
LINE   13 | TYPE: RPAREN       | POS:    172 | VALUE: ')'
LINE   13 | TYPE: ARROW        | POS:    174 | VALUE: '->'
LINE   13 | TYPE: ID           | POS:    177 | VALUE: 'i32'
LINE   13 | TYPE: LBRACE       | POS:    181 | VALUE: '{'
LINE   14 | TYPE: RETURN       | POS:    187 | VALUE: 'return'
LINE   14 | TYPE: ID           | POS:    194 | VALUE: 'a'
LINE   14 | TYPE: MULTIPLY     | POS:    196 | VALUE: '*'
LINE   14 | TYPE: ID           | POS:    198 | VALUE: 'b'
LINE   14 | TYPE: SEMICOLON    | POS:    199 | VALUE: ';'
LINE   15 | TYPE: RBRACE       | POS:    201 | VALUE: '}'
LINE   17 | TYPE: FN           | POS:    204 | VALUE: 'fn'
LINE   17 | TYPE: ID           | POS:    207 | VALUE: 'dividir'
LINE   17 | TYPE: LPAREN       | POS:    214 | VALUE: '('
LINE   17 | TYPE: ID           | POS:    215 | VALUE: 'a'
LINE   17 | TYPE: COLON        | POS:    216 | VALUE: ':'
LINE   17 | TYPE: ID           | POS:    218 | VALUE: 'i32'
LINE   17 | TYPE: COMMA        | POS:    221 | VALUE: ','
LINE   17 | TYPE: ID           | POS:    223 | VALUE: 'b'
LINE   17 | TYPE: COLON        | POS:    224 | VALUE: ':'
LINE   17 | TYPE: ID           | POS:    226 | VALUE: 'i32'
LINE   17 | TYPE: RPAREN       | POS:    229 | VALUE: ')'
LINE   17 | TYPE: ARROW        | POS:    231 | VALUE: '->'
LINE   17 | TYPE: ID           | POS:    234 | VALUE: 'i32'
LINE   17 | TYPE: LBRACE       | POS:    238 | VALUE: '{'
LINE   18 | TYPE: IF           | POS:    244 | VALUE: 'if'
LINE   18 | TYPE: ID           | POS:    247 | VALUE: 'b'
LINE   18 | TYPE: EQUAL        | POS:    249 | VALUE: '=='
LINE   18 | TYPE: ASSIGN       | POS:    251 | VALUE: '='
LINE   18 | TYPE: INTEGER      | POS:    253 | VALUE: 0
LINE   18 | TYPE: LBRACE       | POS:    255 | VALUE: '{'
LINE   19 | TYPE: PRINTLN      | POS:    265 | VALUE: 'println'
LINE   19 | TYPE: NOT          | POS:    272 | VALUE: '!'
LINE   19 | TYPE: LPAREN       | POS:    273 | VALUE: '('
LINE   19 | TYPE: STRING       | POS:    274 | VALUE: 'Error: División por cero'
LINE   19 | TYPE: RPAREN       | POS:    300 | VALUE: ')'
LINE   19 | TYPE: SEMICOLON    | POS:    301 | VALUE: ';'
LINE   20 | TYPE: RETURN       | POS:    311 | VALUE: 'return'
LINE   20 | TYPE: INTEGER      | POS:    318 | VALUE: 0
LINE   20 | TYPE: SEMICOLON    | POS:    319 | VALUE: ';'
LINE   20 | TYPE: SEMICOLON    | POS:    320 | VALUE: ';'
LINE   21 | TYPE: RBRACE       | POS:    326 | VALUE: '}'
LINE   21 | TYPE: ELSE         | POS:    328 | VALUE: 'else'
LINE   21 | TYPE: LBRACE       | POS:    333 | VALUE: '{'
LINE   22 | TYPE: RETURN       | POS:    343 | VALUE: 'return'
LINE   22 | TYPE: ID           | POS:    350 | VALUE: 'a'
LINE   22 | TYPE: DIVIDE       | POS:    352 | VALUE: '/'
LINE   22 | TYPE: ID           | POS:    354 | VALUE: 'b'
LINE   22 | TYPE: SEMICOLON    | POS:    355 | VALUE: ';'
LINE   23 | TYPE: RBRACE       | POS:    361 | VALUE: '}'
LINE   24 | TYPE: RBRACE       | POS:    363 | VALUE: '}'
LINE   26 | TYPE: FN           | POS:    366 | VALUE: 'fn'
LINE   26 | TYPE: ID           | POS:    369 | VALUE: 'main'
LINE   26 | TYPE: LPAREN       | POS:    373 | VALUE: '('
LINE   26 | TYPE: RPAREN       | POS:    374 | VALUE: ')'
LINE   26 | TYPE: LBRACE       | POS:    376 | VALUE: '{'
LINE   27 | TYPE: LET          | POS:    382 | VALUE: 'let'
