LEXICO LOG - file: algoritmo1.rs
Generated: 2025-11-03T12:20:14.434525
User: PaulPer37
============================================================

TOKENS
------------------------------------------------------------
LINE   20 | TYPE: ELSE         | POS:    402 | VALUE: 'else'
LINE   20 | TYPE: LBRACE       | POS:    407 | VALUE: '{'
LINE   23 | TYPE: DIVIDE       | POS:    456 | VALUE: '/'
LINE   23 | TYPE: MULTIPLY     | POS:    457 | VALUE: '*'
LINE   23 | TYPE: ID           | POS:    459 | VALUE: 'comentario'
LINE   23 | TYPE: ID           | POS:    470 | VALUE: 'multil'
LINE   23 | TYPE: ID           | POS:    477 | VALUE: 'nea'
LINE   24 | TYPE: ID           | POS:    492 | VALUE: 'con'
LINE   24 | TYPE: ID           | POS:    496 | VALUE: 'salto'
LINE   24 | TYPE: ID           | POS:    502 | VALUE: 'de'
LINE   24 | TYPE: ID           | POS:    505 | VALUE: 'l'
LINE   24 | TYPE: ID           | POS:    507 | VALUE: 'nea'
LINE   24 | TYPE: ID           | POS:    511 | VALUE: 'y'
LINE   24 | TYPE: ID           | POS:    513 | VALUE: 'texto'
LINE   24 | TYPE: ID           | POS:    519 | VALUE: 'complejo'
LINE   24 | TYPE: COLON        | POS:    527 | VALUE: ':'
LINE   24 | TYPE: INTEGER      | POS:    529 | VALUE: 1234
LINE   24 | TYPE: DIV_ASSIGN   | POS:    534 | VALUE: '/='
LINE   24 | TYPE: NOT_EQUAL    | POS:    537 | VALUE: '!='
LINE   24 | TYPE: AND          | POS:    540 | VALUE: '&&'
LINE   24 | TYPE: OR           | POS:    543 | VALUE: '||'
LINE   24 | TYPE: ARROW        | POS:    546 | VALUE: '->'
LINE   24 | TYPE: LBRACE       | POS:    549 | VALUE: '{'
LINE   24 | TYPE: RBRACE       | POS:    551 | VALUE: '}'
LINE   24 | TYPE: MULTIPLY     | POS:    553 | VALUE: '*'
LINE   24 | TYPE: DIVIDE       | POS:    554 | VALUE: '/'
LINE   25 | TYPE: FOR          | POS:    564 | VALUE: 'for'
LINE   25 | TYPE: ID           | POS:    568 | VALUE: 'i'
LINE   25 | TYPE: IN           | POS:    570 | VALUE: 'in'
LINE   25 | TYPE: LBRACKET     | POS:    573 | VALUE: '['
LINE   25 | TYPE: INTEGER      | POS:    574 | VALUE: 1
LINE   25 | TYPE: COMMA        | POS:    575 | VALUE: ','
LINE   25 | TYPE: INTEGER      | POS:    577 | VALUE: 2
LINE   25 | TYPE: COMMA        | POS:    578 | VALUE: ','
LINE   25 | TYPE: INTEGER      | POS:    580 | VALUE: 3
LINE   25 | TYPE: RBRACKET     | POS:    581 | VALUE: ']'
LINE   25 | TYPE: LBRACE       | POS:    583 | VALUE: '{'
LINE   28 | TYPE: ID           | POS:    662 | VALUE: 'x'
LINE   28 | TYPE: ASSIGN       | POS:    664 | VALUE: '='
LINE   28 | TYPE: ID           | POS:    666 | VALUE: 'x'
LINE   28 | TYPE: PLUS         | POS:    668 | VALUE: '+'
LINE   28 | TYPE: ID           | POS:    670 | VALUE: 'i'
LINE   28 | TYPE: SEMICOLON    | POS:    671 | VALUE: ';'
LINE   29 | TYPE: ID           | POS:    685 | VALUE: 'x'
LINE   29 | TYPE: MINUS_ASSIGN | POS:    687 | VALUE: '-='
LINE   29 | TYPE: INTEGER      | POS:    690 | VALUE: 1
LINE   29 | TYPE: SEMICOLON    | POS:    691 | VALUE: ';'
LINE   30 | TYPE: ID           | POS:    705 | VALUE: 'y'
LINE   30 | TYPE: MULT_ASSIGN  | POS:    707 | VALUE: '*='
LINE   30 | TYPE: FLOAT        | POS:    710 | VALUE: 2.0
LINE   30 | TYPE: SEMICOLON    | POS:    713 | VALUE: ';'
LINE   31 | TYPE: ID           | POS:    727 | VALUE: 'z'
LINE   31 | TYPE: DIV_ASSIGN   | POS:    729 | VALUE: '/='
LINE   31 | TYPE: FLOAT        | POS:    732 | VALUE: 1.0
LINE   31 | TYPE: SEMICOLON    | POS:    735 | VALUE: ';'
LINE   32 | TYPE: LET          | POS:    749 | VALUE: 'let'
LINE   32 | TYPE: ID           | POS:    753 | VALUE: 'v'
LINE   32 | TYPE: ASSIGN       | POS:    755 | VALUE: '='
LINE   32 | TYPE: VEC          | POS:    757 | VALUE: 'vec'
LINE   32 | TYPE: NOT          | POS:    760 | VALUE: '!'
LINE   32 | TYPE: LBRACKET     | POS:    761 | VALUE: '['
LINE   32 | TYPE: INTEGER      | POS:    762 | VALUE: 1
LINE   32 | TYPE: COMMA        | POS:    763 | VALUE: ','
LINE   32 | TYPE: INTEGER      | POS:    765 | VALUE: 2
LINE   32 | TYPE: COMMA        | POS:    766 | VALUE: ','
LINE   32 | TYPE: INTEGER      | POS:    768 | VALUE: 3
LINE   32 | TYPE: RBRACKET     | POS:    769 | VALUE: ']'
LINE   32 | TYPE: SEMICOLON    | POS:    770 | VALUE: ';'
LINE   33 | TYPE: LET          | POS:    784 | VALUE: 'let'
LINE   33 | TYPE: ID           | POS:    788 | VALUE: 'b'
LINE   33 | TYPE: ASSIGN       | POS:    790 | VALUE: '='
LINE   33 | TYPE: TRUE         | POS:    792 | VALUE: 'true'
LINE   33 | TYPE: SEMICOLON    | POS:    796 | VALUE: ';'
LINE   34 | TYPE: LET          | POS:    810 | VALUE: 'let'
LINE   34 | TYPE: ID           | POS:    814 | VALUE: 'f'
LINE   34 | TYPE: ASSIGN       | POS:    816 | VALUE: '='
LINE   34 | TYPE: FALSE        | POS:    818 | VALUE: 'false'
LINE   34 | TYPE: SEMICOLON    | POS:    823 | VALUE: ';'
LINE   35 | TYPE: IF           | POS:    837 | VALUE: 'if'
LINE   35 | TYPE: ID           | POS:    840 | VALUE: 'b'
LINE   35 | TYPE: AND          | POS:    842 | VALUE: '&&'
LINE   35 | TYPE: NOT          | POS:    845 | VALUE: '!'
LINE   35 | TYPE: ID           | POS:    846 | VALUE: 'f'
LINE   35 | TYPE: OR           | POS:    848 | VALUE: '||'
LINE   35 | TYPE: LPAREN       | POS:    851 | VALUE: '('
LINE   35 | TYPE: ID           | POS:    852 | VALUE: 'i'
LINE   35 | TYPE: EQUAL        | POS:    854 | VALUE: '=='
LINE   35 | TYPE: INTEGER      | POS:    857 | VALUE: 2
LINE   35 | TYPE: RPAREN       | POS:    858 | VALUE: ')'
LINE   35 | TYPE: LBRACE       | POS:    860 | VALUE: '{'
LINE   36 | TYPE: PRINTLN      | POS:    878 | VALUE: 'println'
LINE   36 | TYPE: NOT          | POS:    885 | VALUE: '!'
LINE   36 | TYPE: LPAREN       | POS:    886 | VALUE: '('
LINE   36 | TYPE: STRING       | POS:    887 | VALUE: 'condición verdadera: i = {}'
LINE   36 | TYPE: COMMA        | POS:    916 | VALUE: ','
LINE   36 | TYPE: ID           | POS:    918 | VALUE: 'i'
LINE   36 | TYPE: RPAREN       | POS:    919 | VALUE: ')'
LINE   36 | TYPE: SEMICOLON    | POS:    920 | VALUE: ';'
LINE   37 | TYPE: RBRACE       | POS:    934 | VALUE: '}'
LINE   38 | TYPE: RBRACE       | POS:    944 | VALUE: '}'
LINE   39 | TYPE: RBRACE       | POS:    950 | VALUE: '}'
LINE   43 | TYPE: IF           | POS:    993 | VALUE: 'if'
LINE   43 | TYPE: ID           | POS:    996 | VALUE: 'x'
LINE   43 | TYPE: EQUAL        | POS:    998 | VALUE: '=='
LINE   43 | TYPE: INTEGER      | POS:   1001 | VALUE: 100
LINE   43 | TYPE: LBRACE       | POS:   1005 | VALUE: '{'
LINE   44 | TYPE: PRINTLN      | POS:   1015 | VALUE: 'println'
LINE   44 | TYPE: NOT          | POS:   1022 | VALUE: '!'
LINE   44 | TYPE: LPAREN       | POS:   1023 | VALUE: '('
LINE   44 | TYPE: STRING       | POS:   1024 | VALUE: 'x es 100'
LINE   44 | TYPE: RPAREN       | POS:   1034 | VALUE: ')'
LINE   44 | TYPE: SEMICOLON    | POS:   1035 | VALUE: ';'
LINE   45 | TYPE: RBRACE       | POS:   1041 | VALUE: '}'
LINE   45 | TYPE: ELSE         | POS:   1043 | VALUE: 'else'
LINE   45 | TYPE: IF           | POS:   1048 | VALUE: 'if'
LINE   45 | TYPE: ID           | POS:   1051 | VALUE: 'x'
LINE   45 | TYPE: NOT_EQUAL    | POS:   1053 | VALUE: '!='
LINE   45 | TYPE: INTEGER      | POS:   1056 | VALUE: 100
LINE   45 | TYPE: LBRACE       | POS:   1060 | VALUE: '{'
LINE   46 | TYPE: PRINTLN      | POS:   1070 | VALUE: 'println'
LINE   46 | TYPE: NOT          | POS:   1077 | VALUE: '!'
LINE   46 | TYPE: LPAREN       | POS:   1078 | VALUE: '('
LINE   46 | TYPE: STRING       | POS:   1079 | VALUE: 'x no es 100'
LINE   46 | TYPE: RPAREN       | POS:   1092 | VALUE: ')'
LINE   46 | TYPE: SEMICOLON    | POS:   1093 | VALUE: ';'
LINE   47 | TYPE: RBRACE       | POS:   1099 | VALUE: '}'
LINE   51 | TYPE: LET          | POS:   1149 | VALUE: 'let'
LINE   51 | TYPE: ID           | POS:   1153 | VALUE: 'func'
LINE   51 | TYPE: ASSIGN       | POS:   1158 | VALUE: '='
LINE   51 | TYPE: FN           | POS:   1160 | VALUE: 'fn'
LINE   51 | TYPE: LPAREN       | POS:   1162 | VALUE: '('
LINE   51 | TYPE: ID           | POS:   1163 | VALUE: 'a'
LINE   51 | TYPE: COLON        | POS:   1164 | VALUE: ':'
LINE   51 | TYPE: ID           | POS:   1166 | VALUE: 'i32'
LINE   51 | TYPE: RPAREN       | POS:   1169 | VALUE: ')'
LINE   51 | TYPE: ARROW        | POS:   1171 | VALUE: '->'
LINE   51 | TYPE: ID           | POS:   1174 | VALUE: 'i32'
LINE   51 | TYPE: LBRACE       | POS:   1178 | VALUE: '{'
LINE   51 | TYPE: RETURN       | POS:   1180 | VALUE: 'return'
LINE   51 | TYPE: ID           | POS:   1187 | VALUE: 'a'
LINE   51 | TYPE: MULTIPLY     | POS:   1189 | VALUE: '*'
LINE   51 | TYPE: INTEGER      | POS:   1191 | VALUE: 2
LINE   51 | TYPE: SEMICOLON    | POS:   1192 | VALUE: ';'
LINE   51 | TYPE: RBRACE       | POS:   1194 | VALUE: '}'
LINE   51 | TYPE: SEMICOLON    | POS:   1195 | VALUE: ';'
LINE   52 | TYPE: LET          | POS:   1201 | VALUE: 'let'
LINE   52 | TYPE: ID           | POS:   1205 | VALUE: 'map_val'
LINE   52 | TYPE: COLON        | POS:   1212 | VALUE: ':'
LINE   52 | TYPE: ID           | POS:   1214 | VALUE: 'i32'
LINE   52 | TYPE: ASSIGN       | POS:   1218 | VALUE: '='
LINE   52 | TYPE: ID           | POS:   1220 | VALUE: 'func'
LINE   52 | TYPE: LPAREN       | POS:   1224 | VALUE: '('
LINE   52 | TYPE: INTEGER      | POS:   1225 | VALUE: 5
LINE   52 | TYPE: RPAREN       | POS:   1226 | VALUE: ')'
LINE   52 | TYPE: SEMICOLON    | POS:   1227 | VALUE: ';'
LINE   56 | TYPE: LET          | POS:   1278 | VALUE: 'let'
LINE   56 | TYPE: ID           | POS:   1282 | VALUE: 'mix'
LINE   56 | TYPE: ASSIGN       | POS:   1286 | VALUE: '='
LINE   56 | TYPE: INTEGER      | POS:   1288 | VALUE: 10
LINE   56 | TYPE: PLUS         | POS:   1291 | VALUE: '+'
LINE   56 | TYPE: FLOAT        | POS:   1293 | VALUE: 2.5
LINE   56 | TYPE: MULTIPLY     | POS:   1297 | VALUE: '*'
LINE   56 | TYPE: INTEGER      | POS:   1299 | VALUE: 3
LINE   56 | TYPE: MINUS        | POS:   1301 | VALUE: '-'
LINE   56 | TYPE: INTEGER      | POS:   1303 | VALUE: 1
LINE   56 | TYPE: MODULO       | POS:   1305 | VALUE: '%'
LINE   56 | TYPE: INTEGER      | POS:   1307 | VALUE: 2
LINE   56 | TYPE: SEMICOLON    | POS:   1308 | VALUE: ';'
LINE   57 | TYPE: RBRACE       | POS:   1310 | VALUE: '}'

------------------------------------------------------------

ERRORS / LEXER OUTPUT
------------------------------------------------------------
Illegal character 'í' at line 23
Illegal character 'í' at line 24
